,objectId,geoPosition,countryCode,postalCode,placeName,adminName1,adminCode1,adminName2,adminCode2,adminName3,adminCode3,accuracy,createdAt,updatedAt
820,821,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Belay Baba,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
821,822,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Bilkani,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
822,823,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Martoong,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
823,824,"{'__type': 'GeoPoint', 'latitude': 34.8367, 'longitude': 72.4419}",PK,19120,Charbagh,NWFP Peshawar,,,,,,4,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
824,825,"{'__type': 'GeoPoint', 'latitude': 34.8747, 'longitude': 72.4347}",PK,19121,Gulibagh,NWFP Peshawar,,,,,,4,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
825,826,"{'__type': 'GeoPoint', 'latitude': 34.7397, 'longitude': 72.4256}",PK,19131,Kokarai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
826,827,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Damorat,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
827,828,"{'__type': 'GeoPoint', 'latitude': 34.7397, 'longitude': 72.4256}",PK,19131,Ahengro Dheri,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
828,829,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Chagum,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
829,830,"{'__type': 'GeoPoint', 'latitude': 34.9906, 'longitude': 72.4719}",PK,19111,Chamtali,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
830,831,"{'__type': 'GeoPoint', 'latitude': 34.7397, 'longitude': 72.4256}",PK,19131,Jambeel,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
831,832,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Puran,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
832,833,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Chkisar,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
833,834,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Kuzpao,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
834,835,"{'__type': 'GeoPoint', 'latitude': 34.7851, 'longitude': 72.5853}",PK,19101,Lilonai,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
835,836,"{'__type': 'GeoPoint', 'latitude': 34.9906, 'longitude': 72.4719}",PK,19110,Khawaza Khela,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
836,837,"{'__type': 'GeoPoint', 'latitude': 34.9906, 'longitude': 72.4719}",PK,19111,Farhatabad,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
837,838,"{'__type': 'GeoPoint', 'latitude': 34.7761, 'longitude': 72.3611}",PK,19130,Mingora,NWFP Peshawar,,,,,,4,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
838,839,"{'__type': 'GeoPoint', 'latitude': 34.5364, 'longitude': 71.2039}",PK,19140,Aman Kot,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
839,840,"{'__type': 'GeoPoint', 'latitude': 34.7397, 'longitude': 72.4256}",PK,19131,Nawan Kellay,NWFP Peshawar,,,,,,,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
840,841,"{'__type': 'GeoPoint', 'latitude': 34.9958, 'longitude': 72.7494}",PK,19201,Damorai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
841,842,"{'__type': 'GeoPoint', 'latitude': 34.9906, 'longitude': 72.4719}",PK,19111,Kotanai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:14.935Z,2020-02-21T22:46:14.935Z
842,843,"{'__type': 'GeoPoint', 'latitude': 35.0489, 'longitude': 72.5597}",PK,19201,Dherai Baba,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
843,844,"{'__type': 'GeoPoint', 'latitude': 34.7383, 'longitude': 72.6842}",PK,19150,Aloch,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
844,845,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19200,Saidu Sharif G.P.O.,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
845,846,"{'__type': 'GeoPoint', 'latitude': 34.8006, 'longitude': 72.3442}",PK,19201,Kanju,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
846,847,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Hazara,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
847,848,"{'__type': 'GeoPoint', 'latitude': 34.845, 'longitude': 72.4172}",PK,19201,Ningolai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
848,849,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Bilkani,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
849,850,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Koza Bandi,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
850,851,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Ganshal,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
851,852,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Kana,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
852,853,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Mang Lore,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
853,854,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Faiz Abad,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
854,855,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Puran,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
855,856,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Islampur,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
856,857,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Chagum,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
857,858,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Goli Gram,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
858,859,"{'__type': 'GeoPoint', 'latitude': 34.68, 'longitude': 72.7447}",PK,19201,Martung,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
859,860,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Chouga,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
860,861,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Shikolai,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.252Z,2020-02-21T22:46:15.252Z
861,862,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Belogram,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
862,863,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Punjigram,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
863,864,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Karora,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
864,865,"{'__type': 'GeoPoint', 'latitude': 34.715, 'longitude': 72.2703}",PK,19241,Manyar,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
865,866,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19210,Rahim Abad,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
866,867,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Bara Bandi,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
